date,AQI
2025-10-25,42.416666666666664
2025-10-26,68.58333333333333
2025-10-27,64.83333333333333
2025-10-28,33.875
2025-10-29,24.458333333333332
2025-10-30,28.958333333333332
2025-10-31,29.25
2025-11-01,29.541666666666668
2025-11-02,54.458333333333336
2025-11-03,45.291666666666664
2025-11-04,28.375
2025-11-05,36.833333333333336
2025-11-06,33.916666666666664
2025-11-07,53.5
2025-11-08,35.625
2025-11-09,47.208333333333336
2025-11-10,41.708333333333336
2025-11-11,29.083333333333332
2025-11-12,25.833333333333332
2025-11-13,26.166666666666668
2025-11-14,25.041666666666668
2025-11-15,53.666666666666664
2025-11-16,40.916666666666664
2025-11-17,30.708333333333332
2025-11-18,27.375
2025-11-19,26.833333333333332
2025-11-20,55.541666666666664
2025-11-21,80.83333333333333
2025-11-22,74.95833333333333
2025-11-23,62.916666666666664
2025-11-24,38.5
