date,temp,humidity,wind
2025-10-25,10.137500000000001,60.208333333333336,3.591666666666667
2025-10-26,10.308333333333334,62.25,4.145833333333333
2025-10-27,9.908333333333333,61.25,7.216666666666666
2025-10-28,10.220833333333333,62.458333333333336,13.545833333333334
2025-10-29,11.6,70.58333333333333,13.254166666666668
2025-10-30,14.758333333333333,81.375,11.941666666666668
2025-10-31,12.729166666666666,48.458333333333336,19.583333333333332
2025-11-01,11.708333333333334,50.375,8.995833333333334
2025-11-02,11.966666666666667,55.041666666666664,4.670833333333333
2025-11-03,13.691666666666668,63.458333333333336,6.670833333333333
2025-11-04,12.358333333333334,37.208333333333336,9.095833333333333
2025-11-05,13.270833333333334,52.166666666666664,10.299999999999999
2025-11-06,11.5,38.75,13.916666666666666
2025-11-07,10.704166666666666,58.25,10.1625
2025-11-08,15.941666666666668,65.20833333333333,5.529166666666666
2025-11-09,13.4375,82.83333333333333,6.716666666666666
2025-11-10,7.4750000000000005,50.583333333333336,18.150000000000002
2025-11-11,2.8249999999999997,41.916666666666664,17.1375
2025-11-12,9.333333333333334,38.041666666666664,11.0625
2025-11-13,10.154166666666667,36.208333333333336,11.545833333333334
2025-11-14,8.245833333333334,47.208333333333336,5.933333333333334
2025-11-15,11.987499999999999,56.125,5.9875
2025-11-16,14.174999999999999,40.875,20.908333333333335
2025-11-17,6.733333333333333,39.666666666666664,12.545833333333334
2025-11-18,4.908333333333333,58.458333333333336,6.0125
2025-11-19,7.058333333333334,86.16666666666667,8.870833333333334
2025-11-20,7.083333333333333,81.04166666666667,3.2458333333333336
2025-11-21,10.450000000000001,83.125,2.529166666666667
2025-11-22,10.745833333333332,84.16666666666667,6.5874999999999995
2025-11-23,9.270833333333334,63.916666666666664,7.0375000000000005
2025-11-24,9.279166666666667,49.583333333333336,6.433333333333334
